Input,Gematria Value,Prime?
אני יהריאל,83,✅Prime!✅
"וַיֹּאמֶר אֵלָיו, אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",554,Composite
"וַיֹּאמֶר אֵלָיו, אֲנִי אלוהים אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",626,Composite
"וַיֹּאמֶר אֵלָיו, אֲנִי אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",579,Composite
"וַיֹּאמֶר אֵלָיו, אֲנִי יְהוָה אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",605,Composite
ויאמראליואנייהוהאשרהוצאתיךמאורכשדיםלתתלךאתהארץהזאתלרשתה,605,Composite
"וַיֹּאמֶר אֵלָיו, אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ",554,Composite
"וַיֹּאמֶר אֵלָיו, אֲנִי אלוהים אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",626,Composite
ויאמריהיהיאורויהיאור,175,Composite
ויאמריההיאורויהיאור,165,Composite
ויאמרהיאורויהיאור,150,Composite
ויאמריאורויהיאור,145,Composite
וַיֹּאמֶר יְהִי אוֹר וַיְהִי אוֹר,160,Composite
וַיֹּאמֶר י אוֹר וַיְהִי אוֹר,145,Composite
בשמו אמרו את האמת,146,Composite
בשמו אמרו יְהוָה את האמת,172,Composite
ביהוה דברי אמת,100,Composite
ביהוה וז דברי אמת,113,✅Prime!✅
בשמו דבר אמת,104,Composite
"וַיֹּאמֶר אֱלֹהִים, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",306,Composite
"וַיֹּאמֶר יהוה, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",291,Composite
"וַיֹּאמֶר, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",265,Composite
נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ,215,Composite
תן לי לעשות אדם בדמותי,210,Composite
תן יהוה לעשות אדם בדמותי,214,Composite
תן יהוה לעשות אדם בצלמו,208,Composite
תן יהוה לעשות אדםה בצלמו,213,Composite
תן יהוה לעשות אדםה צלמו,211,✅Prime!✅
"וַיֹּאמֶר יהוה, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ מוּתֵנוּ",276,Composite
"וַיֹּאמֶר יהוה, אֶעֱשֶׂה אָדָם בְּצַלְמֵנוּ מוּתֵנוּ",263,✅Prime!✅
"וַיֹּאמֶר יהוה, אֶעֱשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",278,Composite
"וַיֹּאמֶר יהוה, אֶעֱשֶׂה אָדָם בְּצַלְמֵנוּ דְּמוּתִי",257,✅Prime!✅
